"SEQN","indice_pobreza","indice_pobreza_cat"
75155,5,"medio_alto"
75156,3.52,"medio_alto"
75157,1.93,"medio_alto"
75158,5,"medio_alto"
75159,1.55,"bajo_ingreso"
75160,1.6,"bajo_ingreso"
75161,3.09,"medio_alto"
75162,NA,"bajo_ingreso"
75164,NA,"medio_alto"
75174,1.21,"pobreza"
75175,3.34,"medio_alto"
75176,1.22,"pobreza"
75178,5,"medio_alto"
75179,0.77,"pobreza"
75181,NA,"medio_alto"
75185,0.65,"pobreza"
75187,2.67,"medio_alto"
75188,1.96,"medio_alto"
75189,5,"medio_alto"
75190,1.53,"bajo_ingreso"
75191,3.07,"medio_alto"
75193,NA,NA
75195,0.6,"pobreza"
75196,5,"medio_alto"
75202,3.55,"medio_alto"
75203,1.78,"bajo_ingreso"
75205,3.99,"medio_alto"
75207,2.19,"medio_alto"
75209,0.09,"pobreza"
75211,5,"medio_alto"
75212,4.01,"medio_alto"
75213,1.53,"bajo_ingreso"
75216,0.83,"pobreza"
75217,0.51,"pobreza"
75220,0.23,"pobreza"
75221,2.06,"medio_alto"
75222,0.75,"pobreza"
75223,5,"medio_alto"
75224,1.73,"bajo_ingreso"
75227,0,"pobreza"
75231,2.57,"medio_alto"
75232,NA,"medio_alto"
75237,NA,"pobreza"
75244,0.52,"pobreza"
75249,0.74,"pobreza"
75251,0.87,"pobreza"
75252,3.38,"medio_alto"
75254,NA,NA
75256,0.99,"pobreza"
75257,0.61,"pobreza"
75258,0.39,"pobreza"
75259,1.53,"bajo_ingreso"
75260,3.1,"medio_alto"
75262,5,"medio_alto"
75263,NA,NA
75264,1.03,"pobreza"
75268,1.13,"pobreza"
75269,0.19,"pobreza"
75270,0.68,"pobreza"
75273,2.19,"medio_alto"
75274,5,"medio_alto"
75277,1.14,"pobreza"
75278,3.27,"medio_alto"
75279,NA,"pobreza"
75282,2.44,"medio_alto"
75283,3.06,"medio_alto"
75285,1.16,"pobreza"
75287,0.8,"pobreza"
75288,1.81,"bajo_ingreso"
75289,1.53,"bajo_ingreso"
75290,NA,NA
75293,1.13,"pobreza"
75295,NA,"pobreza"
75298,3.28,"medio_alto"
75299,1.53,"bajo_ingreso"
75301,0.12,"pobreza"
75302,2.06,"medio_alto"
75305,1.31,"bajo_ingreso"
75306,0.98,"pobreza"
75307,3.6,"medio_alto"
75309,0.4,"pobreza"
75311,NA,"pobreza"
75315,1.75,"bajo_ingreso"
75321,0.72,"pobreza"
75324,1.07,"pobreza"
75325,0.79,"pobreza"
75326,NA,NA
75327,1.51,"bajo_ingreso"
75328,2.06,"medio_alto"
75329,5,"medio_alto"
75330,2.06,"medio_alto"
75331,2.55,"medio_alto"
75332,2.26,"medio_alto"
75333,2.04,"medio_alto"
